技術スキル,その他特徴,金額,要約
"Linux, RHEL, 仮想基盤, OS設定, ミドルウェア設定, Oracle DB, Apache, Tomcat, Java, Spring MVC, TERASOLUNA, Struts","期間: 2026年1月～7月末, 場所: 西葛西(常駐), 精算: 140-180, 募集人数: 1名, サイト: 45日, 就業時間: 9:30～18:00, 面談: 2回(web・対面未定), 商流制限: 貴社所属まで, 年齢制限: 55歳まで, 個人事業主制限: なし, 外国籍制限: 不可, 備考: 自発的なコミュニケーション・自走できる方(指示待ち不可), 要件抽出・解決能力, 健康面不安なし, 若手枠, 詳細設計経験尚可",50万円前後,"株式市場の不正行為情報共有システムにおける基盤更改案件。新旧仮想基盤の差分整理、システム構成確定、および既存ソースのマイグレーション（RHEL, Oracle DB, Apache, Tomcat, Java等のバージョンアップ）を担当。Linux構築経験（設計経験尚可）、仮想基盤上のOS・ミドルウェア設定経験が必須。自走してコミュニケーションが取れる方を求む。2026年1月～7月末、西葛西常駐、単価50万円前後。55歳まで、外国籍不可。"
"Red Hat Enterprise Linux, Windows Server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, VMware Multi-Pathing plug-in for ETERNUS, Veeam Backup & Replication（エージェント）, PostgreSQL, Red Hat Ansible Automation Platform, ETERNUS SF Storage Cruiser, Infrastructure Manager Advanced Edition, 運用設計（監視・ジョブ設計）, 仮想ストレージ, メインフレーム移行",官公庁向けシステム基盤モダナイゼーション支援（運用設計／仮想化基盤）プロジェクト。運用設計および仮想化基盤領域の設計・構築支援。作業期間は2026年1月～長期、作業場所は東中野（常駐）。募集人数は運用設計1名、基盤構築2名。面談1回（対面、面談設定済み）。精算は140h～190h、勤務時間9:00～17:50。外国籍不可。長期参画歓迎。交代要員枠。年齢は～50歳目安。,～65万円目安,"ヘルスベイシスからの官公庁向けシステム基盤モダナイゼーション支援案件（サーバー運用設計・構築、仮想化基盤）。運用設計1名、基盤構築2名募集。必須スキルにLinux, Windows Server, VMware製品など。長期参画、外国籍不可、～50歳目安。単価は～65万円目安。"
"ネットワーク, FW, L3, L2, AP, 無線LAN, Windows, Linux, 仮想基盤","期間: 11月～2026年02月(中長期), 作業場所: 飯田橋(またはリモート週2～3回), 募集人数: 1名, 商流制限: 貴社まで, 外国籍不可, 個人事業主不可, 年齢制限: 45歳まで, 月数回の客先対応(虎ノ門)・地方出張の可能性あり, 面談1～2回(Web)",～65万,官公庁向けネットワーク更改案件における詳細設計～構築要員募集。FW/L3/L2/AP等の設計構築および現地対応。飯田橋または週2～3回リモート。月額～65万円。45歳までのネットワーク経験者。
"ネットワーク設計構築, 無線LAN, FW, L3, L2, AP, Windows, Linux, 仮想基盤","期間: 2023年11月～2026年02月（中長期）, 作業場所: 飯田橋 (週2～3回リモート可), 募集人数: 1名, 面談: 1～2回 (Web), 備考: 月数回の客先対応（虎ノ門）および地方出張の可能性あり, 商流制限: 貴社まで, 外国籍不可, 個人事業主不可, 年齢上限: 45歳",～65万,"官公庁向けネットワーク更改案件における詳細設計～構築要員の募集。FW, L3, L2, AP等の設計構築および現地対応。Windows, Linux, 仮想基盤経験尚可。飯田橋勤務で週2～3回リモート可。長期案件（2026年2月まで）。"
"SecureDesktop, AD, Citrix VDI, マスターイメージ作成, チューニング経験, 仮想アプリ/デスクトップ環境調整, 基本設計","VDI刷新, Entra ID移行, オンプレAD/Entra ID移行設計・構築, Citrix→SecureDesktop移行支援, SSO構成設計・設定, ドキュメント作成, エンド直案件, 稼働時間10:00-18:30, 面談2回",75万,VDI刷新およびEntra ID移行プロジェクトにおけるSecureDesktop環境の基本設計・構築支援案件。SecureDesktop/ADの基本設計経験3年以上、マスターイメージ作成およびチューニング経験者を募集。単価は75万円。
"Linux, 仮想基盤上のOS/ミドルウェア設定, 上流経験, Java, Oracle","案件名: コンプライアンスWAN更改に伴う仮想基盤マイグレーション対応。現行基盤から新仮想基盤への移行（OS: RHEL 5.9→8/9, DB: Oracle 11gR2→19c/21c, APサーバ: IBM HTTP Server 8.5→Apache 2.4.x, Webアプリサーバ: WebSphere ND 8.5→Tomcat 9.x, フレームワーク: FINALUNA+Struts 1.1→TERASOLUNA for Java 5.x+Spring MVC, Java: IBM Java 1.7→OpenJDK 17）。勤務地: 東京都・西葛西（テレワーク併用）。期間: 2026年1月～長期。募集人数: SE 1名。PC貸与あり。外国籍不可。面談: WEB面談1～2回。","スキル見合い (上限75万円/月), 精算幅: 140h～180h/月","株式会社凌芸舎からの案件配信。コンプライアンスWAN更改に伴う仮想基盤マイグレーション案件にて、Linux/OS・ミドルウェア設定/上流経験を持つエンジニアを募集。Java, Oracle経験尚可。勤務地は東京都・西葛西（リモート併用）で、2026年1月からの長期案件。単価上限は75万円。"
"Linux, 仮想基盤OS/ミドルウェア設定, Java, Oracle","コンプライアンスWAN更改, 仮想基盤マイグレーション, 上流工程経験, 証券業務知識, 西葛西(テレワーク併用), 長期案件(2026年1月～), PC貸与, 外国籍不可","~75万円/月 (スキル見合い), 精算幅140h-180h",コンプライアンスWAN更改に伴う仮想基盤マイグレーション案件。現行・新共通基盤の差分要件定義、システム構成確定、ミドルウェア/フレームワーク変更を伴う既存ソース利用のマイグレーション、OS/ミドルウェア設定、データ移行を担当。Linux、Java、Oracleスキルが求められる。
"Linux, RHEL, Oracle DB, Apache, Tomcat, Java (OpenJDK), Spring MVC, TERASOLUNA, 仮想基盤","場所: 西葛西(常駐), 期間: 2026年1月～7月末, 精算: 140-180, 募集人数: 1名, 面談: 2回, 年齢制限: 55歳まで, 外国籍不可, 自走できる方",50万円前後,"コンプライアンスWAN更改に伴う仮想基盤上のOS・ミドルウェア設定、データ移行、およびRHEL, Oracle DB, Apache, Tomcat, Java等のマイグレーション案件。Linux構築経験者を募集。"
"OpenStack, 仮想化環境, Linux, TCP/IP, TeraTerm, Wireshark","勤務地: YRP野比駅 (常駐), 期間: 12月～2026年10月, 年齢: ～50代, 国籍: 外国籍不可, 商流: 御社まで, 面談: 2回 (1回目弊社同席), 定時: 9:30-18:30",MAX75万 (140-180h),通信キャリアシステムの仮想化関連業務。OpenStackベースの仮想化基盤(VNFM)更改に伴う、仮想化機能検証、VM生成・削除等の仮想化基盤操作、ベンダ間調整、試験管理。設計書レビュー、環境構築、ドキュメント修正も担当。OpenStack経験者優遇。
"VDI, Windows Server, Windows Client, PowerShell, バッチスクリプト, 仮想化基盤, Active Directory, 構成管理, 資産管理","国籍・年齢不問, 即日～長期, 2名募集, 神谷町勤務, 大規模クライアント基盤の運用・保守/更改, 休日・夜間作業あり",75万 (スキル見合い),EBAテック株式会社からの注力案件。大規模ユーザー環境のクライアント基盤（VDI/Windows）の運用・保守・更改を担うエンジニア2名を募集。神谷町勤務、即日～長期。Windowsサーバ、仮想デスクトップ、PowerShell等の経験が必須。単価はスキル見合いで75万円。国籍・年齢不問。
